City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Kinablangan,PH,81.27,overcast clouds,7.6947,126.5503,Danny Moreno Property
4,Lompoc,US,82.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
10,Presidencia Roque Saenz Pena,AR,80.96,overcast clouds,-26.7852,-60.4388,Hotel Gualok
11,Rikitea,PF,74.64,light rain,-23.1203,-134.9692,People ThankYou
16,Puerto Penasco,MX,78.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
21,Kalmunai,LK,81.55,overcast clouds,7.4167,81.8167,VS Villa
25,Ribeira Grande,PT,72.0,broken clouds,38.5167,-28.7,Quinta da Meia Eira
30,Nouadhibou,MR,76.98,clear sky,20.931,-17.0347,El Medina
32,Cururupu,BR,86.16,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
35,Teknaf,BD,80.76,overcast clouds,20.8624,92.3058,Forestry Guesthouse
40,Acapulco,MX,85.8,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
41,Saint-Philippe,RE,72.95,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
42,Wajir,KE,89.01,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
44,Manaure,CO,85.28,scattered clouds,11.7751,-72.4445,Hotel Palaaima
45,Victoria,HK,81.32,light rain,22.2855,114.1577,Mini Hotel Central
46,Nuevo Progreso,MX,90.59,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
54,Digha,IN,80.55,scattered clouds,21.6833,87.55,Khoniker Atithi
55,Palmas,BR,94.87,scattered clouds,-10.2128,-48.3603,Hotel Lago da Palma
56,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
62,Butaritari,KI,81.27,few clouds,3.0707,172.7902,Isles Sunset Lodge
64,Angoche,MZ,77.63,clear sky,-16.2325,39.9086,Guest House HESADA
66,Bell Ville,AR,70.03,overcast clouds,-32.6259,-62.6887,Hotel Central
67,Atuona,PF,77.81,clear sky,-9.8,-139.0333,Villa Enata
68,Hilo,US,76.28,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
77,Nikki,BJ,82.47,broken clouds,9.9401,3.2108,Hotel John
84,Sao Domingos,BR,97.48,scattered clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
85,Songling,CN,76.06,light rain,31.1933,120.7176,苏州同里湖大饭店
86,Quatre Cocos,MU,73.51,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
95,Cabedelo,BR,86.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
97,Eyl,SO,79.07,scattered clouds,7.9803,49.8164,Amiin Hotel
99,Kalya,IN,71.6,overcast clouds,12.9793,77.1806,Sleeping house
100,Takoradi,GH,77.0,moderate rain,4.8845,-1.7554,Raybow International Hotel
101,Laguna,US,72.05,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
104,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
105,Palora,EC,76.98,light rain,-1.7,-77.9333,Rancho grande
107,Hithadhoo,MV,83.32,overcast clouds,-0.6,73.0833,Scoop Guest House
108,Tura,IN,74.71,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
113,Myanaung,MM,78.35,overcast clouds,18.2833,95.3167,Taung Hlay Khar
114,Berea,US,75.33,overcast clouds,41.3662,-81.8543,Comfort Inn Cleveland Airport
118,Cam Ranh,VN,76.96,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
119,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
121,Kapaa,US,77.47,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
122,Faanui,PF,79.57,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
127,Jaque,PA,80.69,moderate rain,7.5175,-78.1703,Imbu Bua Lodge
129,Karratha,AU,74.62,clear sky,-20.7377,116.8463,ibis Styles Karratha
132,Sao Filipe,CV,80.85,clear sky,14.8961,-24.4956,Hotel Xaguate
133,Labuhan,ID,78.42,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
136,Rawson,AR,72.95,clear sky,-43.3002,-65.1023,Hosteria Sampedro
137,Bilma,NE,89.06,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
143,Mikuni,JP,75.11,clear sky,36.2171,136.1519,Haiya
145,Tuburan,PH,81.25,overcast clouds,6.6439,122.2736,GT Site
146,Chiplun,IN,76.41,moderate rain,17.5333,73.5167,Hotel Reemz
149,Zorgo,BF,90.41,overcast clouds,12.2489,-0.6158,Auberge Peng-Wende De Zorgho
151,Sorong,ID,80.19,overcast clouds,-0.8833,131.25,waigo splash hotel
153,San Pedro,PH,81.63,few clouds,14.35,121.0167,Villa Veronica Resort Private Pool
154,Galle,LK,78.98,broken clouds,6.0367,80.217,Amangalla
155,Grand Gaube,MU,73.8,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
157,Tra Vinh,VN,77.32,overcast clouds,9.9347,106.3453,Hồng Ân
161,Huejuquilla El Alto,MX,77.34,clear sky,22.6,-103.8667,Hotel Huexuquillan
162,Simpang,ID,75.04,overcast clouds,-1.2667,104.0833,Sk 7 rt 1 dusun 3 rantau makmur berbak
163,Diamantino,BR,91.56,overcast clouds,-14.4086,-56.4461,Hotel Delta
164,Inirida,CO,91.51,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
166,Horta,PT,71.24,broken clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
167,Upata,VE,90.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
168,Ugoofaaru,MV,82.96,overcast clouds,5.6667,73.0,Ungoofaaru Inn
174,Nauta,PE,87.96,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
176,Bubaque,GW,82.63,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
181,Bosaso,SO,86.63,broken clouds,11.2842,49.1816,Red Sea Hotel
184,Do Gonbadan,IR,75.63,clear sky,30.3586,50.7981,شبکه بهداشت و درمان گچساران
185,Darab,IR,77.05,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
189,Tuni,IN,79.81,clear sky,17.35,82.55,Sai Krishna Lodge
191,Dhangadhi,NP,74.37,clear sky,28.7079,80.5961,Hotel Devotee
195,Xuddur,SO,81.57,overcast clouds,4.1213,43.8894,Banjanay Hotel
198,Kontagora,NG,81.07,overcast clouds,10.3999,5.4695,Queens Guest Inn
201,Isangel,VU,70.25,scattered clouds,-19.55,169.2667,Tanna Lodge
202,Pizarro,CO,81.61,broken clouds,4.9533,-77.366,Hotel Limonar
204,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
206,Marsa Matruh,EG,74.79,clear sky,31.3525,27.2453,Beau Site
207,Lazaro Cardenas,MX,85.17,overcast clouds,17.9583,-102.2,quinta antigua
212,Cassilandia,BR,77.02,moderate rain,-19.1133,-51.7342,Delirius Motel
217,Lorengau,PG,81.05,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
219,Bitung,ID,77.85,overcast clouds,1.4451,125.1824,K2 Lembeh
221,Nieves,PH,75.43,broken clouds,15.3274,120.9485,Bill's Inn
222,Batticaloa,LK,81.73,overcast clouds,7.7102,81.6924,Grand Star Guest House
223,Banjar,ID,76.91,broken clouds,-8.19,114.9675,The Hamsa Resort
224,Ambulu,ID,75.87,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
225,Kerema,PG,76.1,overcast clouds,-7.9631,145.7785,Frena Lodge
229,Lucapa,AO,79.5,scattered clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
230,Wanning,CN,79.16,scattered clouds,18.8003,110.3967,Paradise Hotel
232,Tefe,BR,95.29,scattered clouds,-3.3542,-64.7114,Aracati Hotel
233,San Patricio,US,92.12,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
236,Neiafu,TO,76.66,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
242,Palu,ID,76.59,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
245,Viedma,AR,80.06,clear sky,-40.8135,-62.9967,Hotel Cristal
246,Naze,JP,77.52,scattered clouds,28.3667,129.4833,オーベルジュ・アガルイ
247,Cap Malheureux,MU,73.89,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
251,Axim,GH,77.27,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
253,Gizo,SB,80.83,broken clouds,-8.103,156.8419,Imagination Island
256,Kalabo,ZM,89.94,scattered clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
258,Amalapuram,IN,79.14,scattered clouds,16.5833,82.0167,swayamprabha service apartments
259,Viransehir,TR,75.74,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
260,Seguela,CI,76.75,light rain,7.9611,-6.6731,Hotel le Carrefour
263,Cabo San Lucas,MX,93.61,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
264,Harper,LR,79.03,overcast clouds,4.375,-7.7169,Screensaver
265,Padilla,CO,83.89,broken clouds,3.2204,-76.3139,La Granadina
266,Caceres,ES,72.81,scattered clouds,39.522,-6.3748,Ahc Hoteles
268,Pacific Grove,US,73.11,clear sky,36.6177,-121.9166,Lovers Point Inn
269,Karanganyar,ID,78.24,broken clouds,-6.7072,111.0834,Guntur Patie Home's
275,San Cristobal,VE,85.35,broken clouds,7.7669,-72.225,Posada Villaven C.A.
276,Muisne,EC,77.13,overcast clouds,0.6,-80.0333,Quinta Samay
279,Mae Sot,TH,74.52,light rain,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
285,Urambo,TZ,85.37,overcast clouds,-5.0667,32.05,Fair Lodge
286,Pabbi,PK,75.58,broken clouds,34.0106,71.7989,Naseem Qilla
287,Los Llanos De Aridane,ES,71.35,volcanic ash,28.6585,-17.9182,Valle Aridane
289,Santa Cruz,BO,89.62,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
291,Fukuma,JP,73.4,clear sky,33.7667,130.4667,Masago
292,Bontang,ID,78.73,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
295,Alappuzha,IN,79.21,scattered clouds,9.49,76.3264,Panoramic Sea Resort
296,Muros,ES,71.1,clear sky,42.7762,-9.0603,Apartment Av. Castelao
298,Virginia Beach,US,78.03,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
299,Road Town,VG,83.19,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
301,Bengkulu,ID,76.41,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
302,Russell,US,82.96,few clouds,32.3502,-85.1999,Macs
303,Luganville,VU,77.11,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
305,Dicabisagan,PH,77.92,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
307,Pontes E Lacerda,BR,97.59,broken clouds,-15.2261,-59.3353,Hotel Bressan
308,Jalu,LY,82.36,clear sky,29.0331,21.5482,صاحبة الفخامة
310,Guerrero Negro,MX,76.93,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
311,Nuqui,CO,81.72,light rain,5.7125,-77.2708,Hotel Nuquimar
313,Ise,JP,70.92,clear sky,34.4833,136.7,Ise Fresh
314,Yendi,GH,83.37,light rain,9.4427,-0.0099,Eyarro Lodge
316,Paracuru,BR,86.02,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
319,Xiongzhou,CN,72.81,overcast clouds,25.1167,114.3,Xinhewan Business Hotel
322,Mporokoso,ZM,78.94,broken clouds,-9.3727,30.125,Government Guest House
323,Lata,PT,72.05,overcast clouds,40.1629,-8.3327,Casa Maquia
324,Ha Noi,VN,75.2,overcast clouds,21.0245,105.8412,Sofitel Legend Metropole Hanoi
327,Ryotsu,JP,71.42,clear sky,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
329,Kavaratti,IN,82.45,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
330,Port Blair,IN,80.33,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
331,Umm Lajj,SA,87.01,few clouds,25.0213,37.2685,Moon light Furnished Units
332,Surt,LY,77.88,broken clouds,31.2089,16.5887,الهادي ابوشعاله سرت
334,Morristown,US,79.83,clear sky,36.214,-83.2949,Days Inn by Wyndham Morristown
338,Punta Gorda,US,89.98,clear sky,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
339,Balangir,IN,74.88,clear sky,20.7167,83.4833,Sarojinee Residency
342,Pasco,US,88.21,clear sky,28.292,-82.4165,Connection Community/Park
344,Kavieng,PG,81.99,broken clouds,-2.5744,150.7967,Nusa Island Retreat
347,Hit,IQ,81.48,clear sky,33.6416,42.8251,صالون زيرو
348,Sambava,MG,72.16,broken clouds,-14.2667,50.1667,Melrose
353,Conde,BR,82.49,overcast clouds,-7.2597,-34.9075,Pousada Beija Flor
356,Bambous Virieux,MU,71.22,light rain,-20.3428,57.7575,Casa Tia Villa
358,Tautira,PF,78.82,broken clouds,-17.7333,-149.15,Pension Oaoa
360,Mazamari,PE,95.47,broken clouds,-11.3258,-74.5308,Hospedaje Ratto
361,General Roca,AR,82.29,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
362,Awbari,LY,83.77,clear sky,26.5921,12.7805,فندق أوباري
363,Puerto Madryn,AR,80.22,clear sky,-42.7692,-65.0385,Hotel Tolosa
364,Coahuayana,MX,90.16,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
365,Abu Kamal,SY,81.37,clear sky,34.4506,40.9171,محطة التلفاز
367,Kitui,KE,74.23,broken clouds,-1.367,38.0106,Heritage Bliss Hotel
369,Santa Rosa Del Sur,CO,77.2,overcast clouds,7.9644,-74.0544,Hotel hoquidea del sur
372,Souillac,MU,71.37,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
377,Saint-Pierre,RE,73.04,clear sky,-21.3393,55.4781,Lindsey Hôtel
383,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
384,Benghazi,LY,79.9,clear sky,32.1167,20.0667,Tibesti Hotel
385,Lae,PG,75.7,light rain,-6.7221,146.9847,Phils Hotel
386,Kaseda,JP,77.85,scattered clouds,31.4167,130.3167,Sun Stay Kaseda
390,Camacha,PT,70.56,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
392,Ixtapa,MX,89.22,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
395,Roma,US,73.13,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
397,Puerto Del Rosario,ES,76.75,scattered clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
402,Zhuhai,CN,81.05,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
403,Moroni,KM,76.35,scattered clouds,-11.7022,43.2551,Hotel les Arcades
405,Havelock,US,78.98,overcast clouds,34.8791,-76.9013,Sherwood Motel
406,The Valley,AI,87.94,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
407,Hambantota,LK,80.4,overcast clouds,6.1241,81.1185,Bungalow 63
408,Trairi,BR,85.06,broken clouds,-3.2778,-39.2689,janelas do mar
410,Tomatlan,MX,89.29,overcast clouds,19.9333,-105.25,El Salvial
412,Gainesville,US,83.91,scattered clouds,29.6516,-82.3248,"Holiday Inn Gainesville-University Ctr, an IHG Hotel"
414,Hirara,JP,82.04,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
418,Asfi,MA,70.99,overcast clouds,32.2994,-9.2372,Hôtel Abda
419,Ponta Do Sol,PT,75.7,few clouds,32.6667,-17.1,Hotel do Campo
420,Lake Havasu City,US,75.92,clear sky,34.4839,-114.3224,Heat Hotel
423,Alto Araguaia,BR,82.67,moderate rain,-17.3147,-53.2153,Araguaia Palace Hotel
424,Jiazi,CN,78.96,broken clouds,22.8779,116.067,Hotel Jin Hao
425,Bushehr,IR,85.78,clear sky,28.9684,50.8385,Yas Hotel
429,Sao Jose Da Coroa Grande,BR,82.44,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
437,Tateyama,JP,72.01,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
438,Maceio,BR,85.44,broken clouds,-9.6658,-35.7353,Poutur Pousada
439,Lagoa,PT,70.52,overcast clouds,39.05,-27.9833,Casa Das Faias
440,Gat,IL,77.68,clear sky,31.61,34.7642,OlusHome
441,Nuevitas,CU,87.87,scattered clouds,21.5453,-77.2644,Hotel Caonaba
443,Hurghada,EG,84.24,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
445,Doha,QA,87.78,clear sky,25.2867,51.5333,Movenpick Hotel Doha
446,Shenzhen,CN,81.21,light rain,22.5455,114.0683,Shenzhen Shanghai Hotel
451,Meiktila,MM,79.25,broken clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
454,Faro,PT,74.98,clear sky,37.0194,-7.9322,Hotel Faro & Beach Club
456,Manggar,ID,81.32,overcast clouds,-2.8833,108.2667,Guest Hotel
457,Fare,PF,79.09,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
458,Riyadh,SA,87.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
459,Natal,BR,84.74,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
460,Taitung,TW,80.62,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
463,Monroe,US,74.91,broken clouds,43.1501,-77.6831,"Staybridge Suites Rochester University, an IHG Hotel"
464,Vanimo,PG,78.85,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
465,Moron,AR,70.81,light rain,-34.6534,-58.6198,Hotel Morón
467,Kongolo,CD,79.07,overcast clouds,-5.3833,27.0,Mustafa Zengin Büyük Çerkes Düklüğü
475,Salalah,OM,79.86,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
477,Maragogi,BR,82.11,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
478,San Quintin,MX,71.87,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
483,Ewo,CG,75.09,light rain,-0.8725,14.8206,Residence Elonda Ewo
485,Tecolutla,MX,83.8,clear sky,20.4833,-97.0167,Hotel Plaza Marsol
491,Roebourne,AU,75.04,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
