City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nicolas Bravo,MX,18.45,-88.9167,88.68,47,24,3.06,few clouds
1,Felanitx,ES,39.4696,3.1483,68.95,70,40,7.61,scattered clouds
2,Kinablangan,PH,7.6947,126.5503,81.27,71,100,5.35,overcast clouds
3,Dunedin,NZ,-45.8742,170.5036,52.81,89,83,8.99,heavy intensity rain
4,Lompoc,US,34.6391,-120.4579,82.13,61,0,1.99,clear sky
5,Okha,RU,53.5739,142.9478,46.09,97,100,8.37,light rain
6,Provideniya,RU,64.3833,-173.3,27.63,91,100,8.61,overcast clouds
7,Albany,US,42.6001,-73.9662,66.99,74,88,3.0,overcast clouds
8,Punta Arenas,CL,-53.15,-70.9167,53.71,32,20,31.07,few clouds
9,Rurrenabaque,BO,-14.4413,-67.5278,101.26,30,86,7.63,overcast clouds
10,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,80.96,61,85,5.95,overcast clouds
11,Rikitea,PF,-23.1203,-134.9692,74.64,81,100,18.86,light rain
12,Ushuaia,AR,-54.8,-68.3,49.66,32,20,18.41,few clouds
13,Yulara,AU,-25.2406,130.9889,55.24,76,90,10.36,overcast clouds
14,Hobart,AU,-42.8794,147.3294,42.26,79,28,6.91,scattered clouds
15,Yuzhnyy,RU,53.2542,83.6936,44.98,65,0,6.71,clear sky
16,Puerto Penasco,MX,31.3167,-113.5333,78.91,31,0,7.72,clear sky
17,Mar Del Plata,AR,-38.0023,-57.5575,62.62,27,40,14.0,scattered clouds
18,Chuy,UY,-33.6971,-53.4616,62.83,72,75,15.48,broken clouds
19,Meshchovsk,RU,54.3244,35.2808,40.75,76,0,3.33,clear sky
20,Bluff,NZ,-46.6,168.3333,52.81,77,100,10.36,overcast clouds
21,Kalmunai,LK,7.4167,81.8167,81.55,78,100,2.77,overcast clouds
22,Jamestown,US,42.097,-79.2353,69.03,75,75,7.0,broken clouds
23,Mataura,NZ,-46.1927,168.8643,52.48,87,100,2.33,light rain
24,Hearst,CA,49.6835,-83.6665,66.45,68,59,9.22,broken clouds
25,Ribeira Grande,PT,38.5167,-28.7,72.0,94,75,12.66,broken clouds
26,Ancud,CL,-41.8697,-73.8203,55.42,73,89,8.77,overcast clouds
27,Constitucion,CL,-35.3333,-72.4167,60.17,61,9,12.75,clear sky
28,Fivizzano,IT,44.2383,10.126,56.43,81,1,4.74,clear sky
29,Margate,GB,51.3813,1.3862,59.31,80,82,4.0,broken clouds
30,Nouadhibou,MR,20.931,-17.0347,76.98,61,0,18.41,clear sky
31,Cidreira,BR,-30.1811,-50.2056,65.41,82,91,16.87,overcast clouds
32,Cururupu,BR,-1.8283,-44.8683,86.16,62,89,8.39,overcast clouds
33,Marawi,PH,7.9986,124.2928,66.65,93,100,6.76,overcast clouds
34,Vaini,TO,-21.2,-175.2,69.96,100,75,2.3,light rain
35,Teknaf,BD,20.8624,92.3058,80.76,85,100,2.93,overcast clouds
36,Tiksi,RU,71.6872,128.8694,27.52,91,100,4.18,overcast clouds
37,Avarua,CK,-21.2078,-159.775,69.85,94,99,1.14,overcast clouds
38,Neverkino,RU,52.7854,46.7417,44.4,57,12,3.33,few clouds
39,Snezhnogorsk,RU,69.1933,33.2531,42.58,94,100,1.7,overcast clouds
40,Acapulco,MX,16.8634,-99.8901,85.8,68,89,9.6,overcast clouds
41,Saint-Philippe,RE,-21.3585,55.7679,72.95,87,22,9.19,few clouds
42,Wajir,KE,1.7471,40.0573,89.01,36,36,14.47,scattered clouds
43,Cefalu,IT,38.0386,14.0229,66.74,66,22,5.99,few clouds
44,Manaure,CO,11.7751,-72.4445,85.28,70,44,13.56,scattered clouds
45,Victoria,HK,22.2855,114.1577,81.32,90,100,8.01,light rain
46,Nuevo Progreso,MX,23.1667,-97.95,90.59,58,1,5.01,clear sky
47,Kaitangata,NZ,-46.2817,169.8464,48.6,82,99,3.49,moderate rain
48,Chihuahua,MX,28.5,-106.0,80.82,22,1,19.86,clear sky
49,Talnakh,RU,69.4865,88.3972,23.47,96,99,3.85,light snow
50,Chokurdakh,RU,70.6333,147.9167,15.04,90,95,5.64,overcast clouds
51,Pevek,RU,69.7008,170.3133,21.96,92,100,6.62,overcast clouds
52,Busselton,AU,-33.65,115.3333,54.05,72,100,11.77,overcast clouds
53,Lenine,UA,45.2986,35.7771,53.58,72,22,5.39,few clouds
54,Digha,IN,21.6833,87.55,80.55,81,45,4.36,scattered clouds
55,Palmas,BR,-10.2128,-48.3603,94.87,46,40,8.05,scattered clouds
56,Georgetown,MY,5.4112,100.3354,80.89,87,20,1.99,few clouds
57,Baykit,RU,61.67,96.37,24.24,85,89,6.11,overcast clouds
58,Kaeo,NZ,-35.1,173.7833,47.32,93,54,5.21,broken clouds
59,Upernavik,GL,72.7868,-56.1549,32.38,99,100,10.8,snow
60,Makkaveyevo,RU,51.7533,113.9454,34.52,73,9,2.8,clear sky
61,Havre-Saint-Pierre,CA,50.2334,-63.5986,55.99,66,90,13.8,overcast clouds
